trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
173,False,"{'a': 0.99, 'e': 0.7302730347319081}",20,12,-40.21461796270813,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
174,False,"{'a': 0.99, 'e': 0.7288873297303584}",20,0,-85.55629266062475,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
175,False,"{'a': 0.99, 'e': 0.7275016247288087}",20,0,-100.75218415400829,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
176,False,"{'a': 0.99, 'e': 0.7261159197272591}",25,0,-140.35707143892557,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
177,False,"{'a': 0.99, 'e': 0.7247302147257094}",25,0,-106.77536837276783,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
178,False,"{'a': 0.99, 'e': 0.7233445097241598}",20,0,-73.4835706022309,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
179,False,"{'a': 0.99, 'e': 0.7219588047226101}",25,0,-88.09987238122363,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
180,False,"{'a': 0.99, 'e': 0.7205730997210604}",20,0,-151.2119271642619,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
181,False,"{'a': 0.99, 'e': 0.7191873947195108}",25,0,-157.87234614442713,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
182,False,"{'a': 0.99, 'e': 0.7178016897179611}",20,12,-17.395769409274372,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
183,False,"{'a': 0.99, 'e': 0.7164159847164114}",20,9,-33.84583530471978,"{0: 8, 1: 0, 2: 1, 3: 2, 4: 0}",1
184,False,"{'a': 0.99, 'e': 0.7150302797148618}",20,13,-19.038349602915297,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
185,False,"{'a': 0.99, 'e': 0.7136445747133121}",20,0,-49.61038888706438,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
186,False,"{'a': 0.99, 'e': 0.7122588697117624}",20,10,-16.139866377109588,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
187,False,"{'a': 0.99, 'e': 0.7108731647102128}",20,3,-63.98570150898805,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 0}",1
188,False,"{'a': 0.99, 'e': 0.7094874597086631}",20,0,-76.38874637652407,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
189,False,"{'a': 0.99, 'e': 0.7081017547071135}",20,0,-103.47939912688587,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
190,False,"{'a': 0.99, 'e': 0.7067160497055638}",20,0,-8.341447278819786,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
191,False,"{'a': 0.99, 'e': 0.7053303447040141}",25,0,-89.45857855541284,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
192,False,"{'a': 0.99, 'e': 0.7039446397024645}",20,0,-98.2997684852171,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
193,False,"{'a': 0.99, 'e': 0.7025589347009148}",25,0,-74.37367942440541,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
194,False,"{'a': 0.99, 'e': 0.7011732296993651}",20,0,-21.273042691978752,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
195,False,"{'a': 0.99, 'e': 0.6997875246978155}",25,0,-75.34267712878209,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
196,False,"{'a': 0.99, 'e': 0.6984018196962658}",35,1,-103.08926898121672,"{0: 25, 1: 1, 2: 5, 3: 2, 4: 1}",1
197,False,"{'a': 0.99, 'e': 0.6970161146947161}",20,0,-141.1699937795536,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
198,False,"{'a': 0.99, 'e': 0.6956304096931665}",30,0,-177.6982550325618,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 3}",0
199,False,"{'a': 0.99, 'e': 0.6942447046916168}",20,0,-81.59487067593528,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
200,False,"{'a': 0.99, 'e': 0.6928589996900671}",20,12,-6.420896569940148,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
201,False,"{'a': 0.99, 'e': 0.6914732946885175}",25,0,-28.38708546100786,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
202,False,"{'a': 0.99, 'e': 0.6900875896869678}",20,0,-76.78427055283852,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
203,False,"{'a': 0.99, 'e': 0.6887018846854182}",25,0,-122.43304906824552,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
204,False,"{'a': 0.99, 'e': 0.6873161796838685}",20,0,-76.76172154410231,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
205,False,"{'a': 0.99, 'e': 0.6859304746823188}",20,11,4.204109346268179,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.99, 'e': 0.6845447696807692}",20,3,-74.31709023275177,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 1}",1
207,False,"{'a': 0.99, 'e': 0.6831590646792195}",25,0,-94.3054096657668,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",1
208,False,"{'a': 0.99, 'e': 0.6817733596776698}",25,0,-139.98102737724147,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
209,False,"{'a': 0.99, 'e': 0.6803876546761202}",25,0,-1.1371762508055305,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
210,False,"{'a': 0.99, 'e': 0.6790019496745705}",20,0,-163.01189380106376,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
211,False,"{'a': 0.99, 'e': 0.6776162446730208}",20,2,-131.20265524240057,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 3}",1
212,False,"{'a': 0.99, 'e': 0.6762305396714712}",30,2,-58.612068063498604,"{0: 22, 1: 0, 2: 5, 3: 0, 4: 1}",1
213,False,"{'a': 0.99, 'e': 0.6748448346699215}",25,0,-76.37068473598009,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 0}",0
214,False,"{'a': 0.99, 'e': 0.6734591296683718}",30,13,-3.465742513935565,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
215,False,"{'a': 0.99, 'e': 0.6720734246668222}",30,13,-31.441357104978284,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
216,False,"{'a': 0.99, 'e': 0.6706877196652725}",20,0,-40.99062735515829,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
